Time of Record (Adjusted to Time Zone),,How are you feeling?,"In the last 10 min, what kind of activity were you doing?",I was doing this activity because,Morning/Evening Person,Activity type,Part of day
4/13/20 11:00,,Amazing,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Morning
4/13/20 11:01,,Awful,i3: Eating and drinking,I want to,,Inflow,Morning
4/13/20 11:13,,Ok,i3: Eating and drinking,I want to and have to,Evening,Inflow,Morning
4/13/20 11:15,,Ok,i10: Inflow - Other,I want to and have to,Evening,Inflow,Morning
4/13/20 11:17,,Bad,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Morning
4/13/20 11:21,,Good,"b5: Intellectual (e.g. writing, coding)",I have to,,Bi-Directional,Morning
4/13/20 11:21,,Ok,i3: Eating and drinking,I have to,,Inflow,Morning
4/13/20 11:22,,Ok,b4: Creative (e.g. painting),of something else; I neither want to nor have to,,Bi-Directional,Morning
4/13/20 11:30,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Morning
4/13/20 11:43,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Morning
4/13/20 11:45,,Ok,"i9: Self-care (e.g. grooming, pooping)",of something else; I neither want to nor have to,Evening,Inflow,Morning
4/13/20 11:45,,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Morning
4/13/20 11:46,,Amazing,"i2: Exploratory (e.g. internet search, fb)",I want to,,Inflow,Morning
4/13/20 11:46,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Morning
4/13/20 11:46,,Bad,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Evening,Bi-Directional,Morning
4/13/20 11:47,,Good,i3: Eating and drinking,I want to,Evening,Inflow,Morning
4/13/20 11:49,,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,,Bi-Directional,Morning
4/13/20 11:53,,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,,Inflow,Morning
4/13/20 12:00,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Afternoon
4/13/20 12:00,,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,,Bi-Directional,Afternoon
4/13/20 12:01,,Good,i4: Exercise,I want to,Morning,Inflow,Afternoon
4/13/20 12:02,,Bad,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 12:16,,Good,i3: Eating and drinking,I want to,Morning,Inflow,Afternoon
4/13/20 12:18,,Good,"i2: Exploratory (e.g. internet search, fb)",I want to and have to,Evening,Inflow,Afternoon
4/13/20 12:20,,Good,b4: Creative (e.g. painting),I want to,,Bi-Directional,Afternoon
4/13/20 12:35,,Good,i3: Eating and drinking,I want to and have to,,Inflow,Afternoon
4/13/20 12:45,,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/13/20 12:50,,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Afternoon
4/13/20 12:50,,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 13:00,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Afternoon
4/13/20 13:00,,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 13:02,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 13:15,,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/13/20 13:21,,Good,i4: Exercise,I want to,Morning,Inflow,Afternoon
4/13/20 13:38,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",of something else; I neither want to nor have to,Morning,Bi-Directional,Afternoon
4/13/20 13:45,,Ok,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,Evening,Bi-Directional,Afternoon
4/13/20 13:45,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Afternoon
4/13/20 13:46,,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Afternoon
4/13/20 13:53,,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Afternoon
4/13/20 14:00,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Afternoon
4/13/20 14:00,,Good,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 14:00,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,,Bi-Directional,Afternoon
4/13/20 14:01,,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Afternoon
4/13/20 14:03,,Good,b4: Creative (e.g. painting),I want to,Morning,Bi-Directional,Afternoon
4/13/20 14:15,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Afternoon
4/13/20 14:15,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,,Inflow,Afternoon
4/13/20 14:21,,Amazing,"b8: Romantic (e.g., date)",I want to,Evening,Bi-Directional,Afternoon
4/13/20 14:39,,Good,i4: Exercise,I want to and have to,Evening,Inflow,Afternoon
4/13/20 14:40,,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/13/20 14:45,,Good,"i5: Fun (e.g. drinking, games)",I have to,Evening,Inflow,Afternoon
4/13/20 14:48,,Ok,i3: Eating and drinking,I want to and have to,,Inflow,Afternoon
4/13/20 14:59,,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 15:00,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Afternoon
4/13/20 15:00,,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 15:00,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Afternoon
4/13/20 15:05,,Good,"b6: Logistical (e.g. planning, commuting, errands)",I want to,Evening,Bi-Directional,Afternoon
4/13/20 15:11,,Good,i4: Exercise,I want to,,Inflow,Afternoon
4/13/20 15:16,,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 15:22,,Bad,b4: Creative (e.g. painting),I want to,,Bi-Directional,Afternoon
4/13/20 15:22,,Amazing,"i9: Self-care (e.g. grooming, pooping)",I want to,Morning,Inflow,Afternoon
4/13/20 15:31,,Bad,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Afternoon
4/13/20 15:31,,Good,b11: Bi-directional - Other,I want to,Evening,Bi-Directional,Afternoon
4/13/20 15:31,,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Afternoon
4/13/20 15:31,,Amazing,i4: Exercise,I want to,,Inflow,Afternoon
4/13/20 15:31,,Ok,i10: Inflow - Other,I want to and have to,Evening,Inflow,Afternoon
4/13/20 15:31,,Amazing,"b8: Romantic (e.g., date)",I want to,Evening,Bi-Directional,Afternoon
4/13/20 15:42,,Good,"i5: Fun (e.g. drinking, games)",I want to,,Inflow,Afternoon
4/13/20 15:45,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Afternoon
4/13/20 15:47,,Good,i3: Eating and drinking,I want to,,Inflow,Afternoon
4/13/20 15:48,,Bad,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Afternoon
4/13/20 15:49,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to and have to,Evening,Bi-Directional,Afternoon
4/13/20 15:49,,Ok,"b2: Communication - Virtual, Social (e.g. messaging)",I want to and have to,,Bi-Directional,Afternoon
4/13/20 15:50,,Amazing,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Morning,Bi-Directional,Afternoon
4/13/20 16:00,,Good,"i2: Exploratory (e.g. internet search, fb)",I want to and have to,Morning,Inflow,Afternoon
4/13/20 16:00,,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Afternoon
4/13/20 16:00,,Good,b4: Creative (e.g. painting),I want to and have to,Morning,Bi-Directional,Afternoon
4/13/20 16:01,,Good,i3: Eating and drinking,I want to,,Inflow,Afternoon
4/13/20 16:08,,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,,Bi-Directional,Afternoon
4/13/20 16:11,,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 16:18,,Good,i4: Exercise,I want to,Evening,Inflow,Afternoon
4/13/20 16:30,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Afternoon
4/13/20 16:32,,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Afternoon
4/13/20 16:36,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Afternoon
4/13/20 16:37,,Amazing,i3: Eating and drinking,I want to and have to,Morning,Inflow,Afternoon
4/13/20 16:37,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 16:50,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to and have to,Evening,Bi-Directional,Afternoon
4/13/20 16:59,,Good,i4: Exercise,I want to,Evening,Inflow,Afternoon
4/13/20 17:00,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Morning,Inflow,Evening
4/13/20 17:00,,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Evening
4/13/20 17:00,,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to and have to,Evening,Inflow,Evening
4/13/20 17:01,,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Evening
4/13/20 17:30,,Amazing,i4: Exercise,I want to,Evening,Inflow,Evening
4/13/20 17:30,,Amazing,"b9: Socializing (e.g., partying, meal)",I want to and have to,Morning,Bi-Directional,Evening
4/13/20 17:30,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to and have to,Evening,Bi-Directional,Evening
4/13/20 17:33,,Good,i3: Eating and drinking,I want to,,Inflow,Evening
4/13/20 17:40,,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Evening,Bi-Directional,Evening
4/13/20 17:45,,Good,"b6: Logistical (e.g. planning, commuting, errands)",I want to and have to,Evening,Bi-Directional,Evening
4/13/20 17:45,,Good,i3: Eating and drinking,I want to,Morning,Inflow,Evening
4/13/20 17:46,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,,Inflow,Evening
4/13/20 18:00,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Morning,Inflow,Evening
4/13/20 18:00,,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Evening
4/13/20 18:04,,Bad,"i1: Consuming art (e.g. movie, museum)",of something else; I neither want to nor have to,,Inflow,Evening
4/13/20 18:14,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/13/20 18:16,,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Evening
4/13/20 18:26,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Evening
4/13/20 18:30,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Evening
4/13/20 18:30,,Bad,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Evening
4/13/20 18:31,,Good,"b7: Manual work (e.g., housework)",I want to and have to,Evening,Bi-Directional,Evening
4/13/20 18:37,,Amazing,i4: Exercise,I want to,Evening,Inflow,Evening
4/13/20 18:38,,Ok,i3: Eating and drinking,I have to,Evening,Inflow,Evening
4/13/20 18:41,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Evening,Inflow,Evening
4/13/20 18:45,,Ok,"i5: Fun (e.g. drinking, games)",I want to and have to,Evening,Inflow,Evening
4/13/20 18:45,,Good,i3: Eating and drinking,I want to and have to,Morning,Inflow,Evening
4/13/20 18:47,,Ok,"b8: Romantic (e.g., date)",I want to,Evening,Bi-Directional,Evening
4/13/20 19:00,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",of something else; I neither want to nor have to,Morning,Bi-Directional,Evening
4/13/20 19:00,,Good,"i1: Consuming art (e.g. movie, museum)",I want to and have to,,Inflow,Evening
4/13/20 19:09,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Evening
4/13/20 19:15,,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Evening
4/13/20 19:15,,Good,"i5: Fun (e.g. drinking, games)",I want to and have to,Evening,Inflow,Evening
4/13/20 19:15,,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/13/20 19:15,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Evening
4/13/20 19:15,,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Evening,Bi-Directional,Evening
4/13/20 19:16,,Ok,i3: Eating and drinking,I want to and have to,Evening,Inflow,Evening
4/13/20 19:17,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,,Inflow,Evening
4/13/20 19:22,,Good,b4: Creative (e.g. painting),I want to,,Bi-Directional,Evening
4/13/20 19:22,,Good,"i5: Fun (e.g. drinking, games)",I want to,,Inflow,Evening
4/13/20 19:37,,Good,"b9: Socializing (e.g., partying, meal)",I want to,,Bi-Directional,Evening
4/13/20 19:41,,Good,"b5: Intellectual (e.g. writing, coding)",I have to,,Bi-Directional,Evening
4/13/20 19:57,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Evening
4/13/20 20:00,,Good,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Morning,Inflow,Evening
4/13/20 20:00,,Ok,"b7: Manual work (e.g., housework)",I have to,Evening,Bi-Directional,Evening
4/13/20 20:00,,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Evening
4/13/20 20:00,,Good,"b7: Manual work (e.g., housework)",I want to and have to,Morning,Bi-Directional,Evening
4/13/20 20:02,,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Evening
4/13/20 20:03,,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,Morning,Bi-Directional,Evening
4/13/20 20:04,,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Evening
4/13/20 20:05,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Evening
4/13/20 20:07,,Bad,"i2: Exploratory (e.g. internet search, fb)",of something else; I neither want to nor have to,,Inflow,Evening
4/13/20 20:08,,Good,"b7: Manual work (e.g., housework)",I want to and have to,,Bi-Directional,Evening
4/13/20 20:14,,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Evening
4/13/20 20:15,,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Evening
4/13/20 20:15,,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Evening
4/13/20 20:15,,Good,i3: Eating and drinking,I want to,,Inflow,Evening
4/13/20 20:15,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",of something else; I neither want to nor have to,,Inflow,Evening
4/13/20 20:16,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Evening
4/13/20 20:24,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Evening
4/13/20 20:35,,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Evening
4/13/20 20:42,,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Evening
4/13/20 21:00,,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,Morning,Inflow,Night
4/13/20 21:00,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
4/13/20 21:01,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
4/13/20 21:07,,Good,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Evening,Inflow,Night
4/13/20 21:15,,Amazing,b4: Creative (e.g. painting),I want to,Evening,Bi-Directional,Night
4/13/20 21:15,,Bad,"b9: Socializing (e.g., partying, meal)",I want to,,Bi-Directional,Night
4/13/20 21:15,,Ok,i10: Inflow - Other,I want to,Evening,Inflow,Night
4/13/20 21:16,,Ok,b4: Creative (e.g. painting),I want to,,Bi-Directional,Night
4/13/20 21:18,,Good,i3: Eating and drinking,I want to,,Inflow,Night
4/13/20 21:20,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Night
4/13/20 21:49,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Night
4/13/20 22:00,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Evening,Inflow,Night
4/13/20 22:00,,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Night
4/13/20 22:09,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,,Inflow,Night
4/13/20 22:15,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,,Inflow,Night
4/13/20 22:15,,Amazing,"i5: Fun (e.g. drinking, games)",I want to,,Inflow,Night
4/13/20 22:21,,Bad,"i8: Rest (e.g. rolling in bed, waiting)",of something else; I neither want to nor have to,Evening,Inflow,Night
4/13/20 22:58,,Bad,"b9: Socializing (e.g., partying, meal)",I want to,Evening,Bi-Directional,Night
4/13/20 23:00,,Good,"i2: Exploratory (e.g. internet search, fb)",of something else; I neither want to nor have to,Evening,Inflow,Night
4/13/20 23:12,,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Night
4/13/20 23:22,,Awful,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Night
4/13/20 23:30,,Good,"b8: Romantic (e.g., date)",I want to,Morning,Bi-Directional,Night
4/14/20 1:20,,Good,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Evening,Inflow,Night
4/14/20 2:23,,Good,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Evening,Inflow,Night
4/14/20 5:42,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Morning
4/14/20 6:00,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,,Inflow,Morning
4/14/20 6:54,,Good,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,,Inflow,Morning
4/14/20 6:57,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to and have to,Morning,Inflow,Morning
4/14/20 7:00,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
4/14/20 7:01,,Ok,i3: Eating and drinking,I want to and have to,Morning,Inflow,Morning
4/14/20 7:13,,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Morning
4/14/20 7:14,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Morning
4/14/20 7:32,,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Morning
4/14/20 8:00,,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Morning,Bi-Directional,Morning
4/14/20 8:00,,Good,"i5: Fun (e.g. drinking, games)",I want to,,Inflow,Morning
4/14/20 8:00,,Good,i4: Exercise,I want to,Morning,Inflow,Morning
4/14/20 8:00,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,,Bi-Directional,Morning
4/14/20 8:00,,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Morning
4/14/20 8:00,,Ok,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,,Inflow,Morning
4/14/20 8:00,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,,Inflow,Morning
4/14/20 8:00,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I have to,,Inflow,Morning
4/14/20 8:04,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",of something else; I neither want to nor have to,,Inflow,Morning
4/14/20 8:05,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",of something else; I neither want to nor have to,Evening,Inflow,Morning
4/14/20 8:40,,Good,"b3: Collaboration (e.g. meeting, appointment)",I have to,,Bi-Directional,Morning
4/14/20 8:46,,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Morning,Bi-Directional,Morning
4/14/20 8:54,,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Morning
4/14/20 8:56,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Morning
4/14/20 9:00,,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Morning
4/14/20 9:00,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,,Inflow,Morning
4/14/20 9:00,,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I want to and have to,Evening,Bi-Directional,Morning
4/14/20 9:00,,Ok,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Morning
4/14/20 9:00,,Amazing,"i9: Self-care (e.g. grooming, pooping)",I want to,Morning,Inflow,Morning
4/14/20 9:00,,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Morning
4/14/20 9:00,,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Morning,Bi-Directional,Morning
4/14/20 9:07,,Ok,"i8: Rest (e.g. rolling in bed, waiting)",I want to and have to,,Inflow,Morning
4/14/20 9:15,,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Morning
