Time of Record (Adjusted to Time Zone),Email,How are you feeling?,"In the last 10 min, what kind of activity were you doing?",I was doing this activity because,Morning/Evening Person,Activity type,Part of day
4/13/20 9:59 AM,0.050374096737726304,Good,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,Morning,Bi-Directional,Morning
4/13/20 10:00 AM,0.0732407481040791,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Morning
4/13/20 10:02 AM,0.29391579396123757,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to,Evening,Bi-Directional,Morning
4/13/20 10:04 AM,0.2620106905400832,Ok,i3: Eating and drinking,I want to and have to,Evening,Inflow,Morning
4/13/20 10:12 AM,0.21399290811170335,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Morning
4/13/20 10:13 AM,0.003906290489614772,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Morning
4/13/20 10:22 AM,0.011015262917951851,Ok,i3: Eating and drinking,I want to and have to,Evening,Inflow,Morning
4/13/20 10:30 AM,0.7067347814443499,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Morning,Bi-Directional,Morning
4/13/20 10:35 AM,0.04207113480625202,Ok,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,Evening,Bi-Directional,Morning
4/13/20 10:35 AM,0.8262523326828731,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Morning
4/13/20 10:45 AM,0.6478801025509782,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Morning
4/13/20 10:50 AM,0.050374096737726304,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I want to and have to,Morning,Bi-Directional,Morning
4/13/20 10:54 AM,0.1891973955850632,Ok,"i8: Rest (e.g. rolling in bed, waiting)",of something else; I neither want to nor have to,Evening,Inflow,Morning
4/13/20 10:59 AM,0.10146061850548371,Ok,i3: Eating and drinking,I want to,Evening,Inflow,Morning
4/13/20 11:00 AM,0.0732407481040791,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Morning
4/13/20 11:00 AM,0.21399290811170335,Amazing,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Morning
4/13/20 11:01 AM,0.2681813060878999,Awful,i3: Eating and drinking,I want to,,Inflow,Morning
4/13/20 11:13 AM,0.003906290489614772,Ok,i3: Eating and drinking,I want to and have to,Evening,Inflow,Morning
4/13/20 11:15 AM,0.22321679639639314,Ok,i10: Inflow - Other,I want to and have to,Evening,Inflow,Morning
4/13/20 11:17 AM,0.04207113480625202,Bad,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Morning
4/13/20 11:21 AM,0.11474372029382096,Good,"b5: Intellectual (e.g. writing, coding)",I have to,,Bi-Directional,Morning
4/13/20 11:21 AM,0.07987691256179696,Ok,i3: Eating and drinking,I have to,,Inflow,Morning
4/13/20 11:22 AM,0.07987691256179696,Ok,b4: Creative (e.g. painting),of something else; I neither want to nor have to,,Bi-Directional,Morning
4/13/20 11:30 AM,0.6593225488258994,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Morning
4/13/20 11:43 AM,0.6737788102981581,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Morning
4/13/20 11:45 AM,0.04207113480625202,Ok,"i9: Self-care (e.g. grooming, pooping)",of something else; I neither want to nor have to,Evening,Inflow,Morning
4/13/20 11:45 AM,0.22321679639639314,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Morning
4/13/20 11:46 AM,0.07987691256179696,Amazing,"i2: Exploratory (e.g. internet search, fb)",I want to,,Inflow,Morning
4/13/20 11:46 AM,0.2620106905400832,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Morning
4/13/20 11:46 AM,0.003906290489614772,Bad,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Evening,Bi-Directional,Morning
4/13/20 11:47 AM,0.8262523326828731,Good,i3: Eating and drinking,I want to,Evening,Inflow,Morning
4/13/20 11:49 AM,0.6013327568356811,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,,Bi-Directional,Morning
4/13/20 11:53 AM,0.7116742748513436,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,,Inflow,Morning
4/13/20 12:00 PM,0.0732407481040791,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Afternoon
4/13/20 12:00 PM,0.6013327568356811,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,,Bi-Directional,Afternoon
4/13/20 12:01 PM,0.8902515255079483,Good,i4: Exercise,I want to,Morning,Inflow,Afternoon
4/13/20 12:02 PM,0.003906290489614772,Bad,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 12:16 PM,0.7067347814443499,Good,i3: Eating and drinking,I want to,Morning,Inflow,Afternoon
4/13/20 12:18 PM,0.21399290811170335,Good,"i2: Exploratory (e.g. internet search, fb)",I want to and have to,Evening,Inflow,Afternoon
4/13/20 12:20 PM,0.7116742748513436,Good,b4: Creative (e.g. painting),I want to,,Bi-Directional,Afternoon
4/13/20 12:35 PM,0.11474372029382096,Good,i3: Eating and drinking,I want to and have to,,Inflow,Afternoon
4/13/20 12:45 PM,0.003906290489614772,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/13/20 12:50 PM,0.6478801025509782,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Afternoon
4/13/20 12:50 PM,0.04207113480625202,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 1:00 PM,0.0732407481040791,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Afternoon
4/13/20 1:00 PM,0.25970807074888325,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 1:02 PM,0.21399290811170335,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 1:15 PM,0.003906290489614772,Ok,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/13/20 1:21 PM,0.7154627748693038,Good,i4: Exercise,I want to,Morning,Inflow,Afternoon
4/13/20 1:38 PM,0.6737788102981581,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",of something else; I neither want to nor have to,Morning,Bi-Directional,Afternoon
4/13/20 1:45 PM,0.22321679639639314,Ok,"b3: Collaboration (e.g. meeting, appointment)",I want to and have to,Evening,Bi-Directional,Afternoon
4/13/20 1:45 PM,0.003906290489614772,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Afternoon
4/13/20 1:46 PM,0.2620106905400832,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Afternoon
4/13/20 1:53 PM,0.011015262917951851,Good,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Afternoon
4/13/20 2:00 PM,0.0732407481040791,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Afternoon
4/13/20 2:00 PM,0.21399290811170335,Good,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 2:00 PM,0.6418846738228277,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,,Bi-Directional,Afternoon
4/13/20 2:01 PM,0.29391579396123757,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Afternoon
4/13/20 2:03 PM,0.7067347814443499,Good,b4: Creative (e.g. painting),I want to,Morning,Bi-Directional,Afternoon
4/13/20 2:15 PM,0.003906290489614772,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Afternoon
4/13/20 2:15 PM,0.11474372029382096,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,,Inflow,Afternoon
4/13/20 2:21 PM,0.6478801025509782,Amazing,"b8: Romantic (e.g., date)",I want to,Evening,Bi-Directional,Afternoon
4/13/20 2:39 PM,0.10146061850548371,Good,i4: Exercise,I want to and have to,Evening,Inflow,Afternoon
4/13/20 2:40 PM,0.07166431874897428,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Afternoon
4/13/20 2:45 PM,0.003906290489614772,Good,"i5: Fun (e.g. drinking, games)",I have to,Evening,Inflow,Afternoon
4/13/20 2:48 PM,0.4679025128092601,Ok,i3: Eating and drinking,I want to and have to,,Inflow,Afternoon
4/13/20 2:59 PM,0.1891973955850632,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 3:00 PM,0.0732407481040791,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,Morning,Inflow,Afternoon
4/13/20 3:00 PM,0.25970807074888325,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 3:00 PM,0.21399290811170335,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,Evening,Inflow,Afternoon
4/13/20 3:05 PM,0.6593225488258994,Good,"b6: Logistical (e.g. planning, commuting, errands)",I want to,Evening,Bi-Directional,Afternoon
4/13/20 3:11 PM,0.41434933550599706,Good,i4: Exercise,I want to,,Inflow,Afternoon
4/13/20 3:16 PM,0.18749150776964763,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 3:22 PM,0.2681813060878999,Bad,b4: Creative (e.g. painting),I want to,,Bi-Directional,Afternoon
4/13/20 3:22 PM,0.7154627748693038,Amazing,"i9: Self-care (e.g. grooming, pooping)",I want to,Morning,Inflow,Afternoon
4/13/20 3:31 PM,0.2620106905400832,Bad,"b5: Intellectual (e.g. writing, coding)",I want to and have to,Evening,Bi-Directional,Afternoon
4/13/20 3:31 PM,0.8262523326828731,Good,b11: Bi-directional - Other,I want to,Evening,Bi-Directional,Afternoon
4/13/20 3:31 PM,0.6616841653736802,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Afternoon
4/13/20 3:31 PM,0.4782825663491381,Amazing,i4: Exercise,I want to,,Inflow,Afternoon
4/13/20 3:31 PM,0.22321679639639314,Ok,i10: Inflow - Other,I want to and have to,Evening,Inflow,Afternoon
4/13/20 3:31 PM,0.04207113480625202,Amazing,"b8: Romantic (e.g., date)",I want to,Evening,Bi-Directional,Afternoon
4/13/20 3:42 PM,0.14014177973779474,Good,"i5: Fun (e.g. drinking, games)",I want to,,Inflow,Afternoon
4/13/20 3:45 PM,0.07166431874897428,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Afternoon
4/13/20 3:47 PM,0.14014177973779474,Good,i3: Eating and drinking,I want to,,Inflow,Afternoon
4/13/20 3:48 PM,0.7067347814443499,Bad,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Morning,Inflow,Afternoon
4/13/20 3:49 PM,0.003906290489614772,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to and have to,Evening,Bi-Directional,Afternoon
4/13/20 3:49 PM,0.056777490296152755,Ok,"b2: Communication - Virtual, Social (e.g. messaging)",I want to and have to,,Bi-Directional,Afternoon
4/13/20 3:50 PM,0.6737788102981581,Amazing,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Morning,Bi-Directional,Afternoon
4/13/20 4:00 PM,0.0732407481040791,Good,"i2: Exploratory (e.g. internet search, fb)",I want to and have to,Morning,Inflow,Afternoon
4/13/20 4:00 PM,0.21399290811170335,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Afternoon
4/13/20 4:00 PM,0.8902515255079483,Good,b4: Creative (e.g. painting),I want to and have to,Morning,Bi-Directional,Afternoon
4/13/20 4:01 PM,0.11474372029382096,Good,i3: Eating and drinking,I want to,,Inflow,Afternoon
4/13/20 4:08 PM,0.7591494294474629,Ok,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,,Bi-Directional,Afternoon
4/13/20 4:11 PM,0.6478801025509782,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 4:18 PM,0.29391579396123757,Good,i4: Exercise,I want to,Evening,Inflow,Afternoon
4/13/20 4:30 PM,0.14014177973779474,Good,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Afternoon
4/13/20 4:32 PM,0.056777490296152755,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Afternoon
4/13/20 4:36 PM,0.1891973955850632,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Afternoon
4/13/20 4:37 PM,0.7154627748693038,Amazing,i3: Eating and drinking,I want to and have to,Morning,Inflow,Afternoon
4/13/20 4:37 PM,0.04207113480625202,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Afternoon
4/13/20 4:50 PM,0.003906290489614772,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to and have to,Evening,Bi-Directional,Afternoon
4/13/20 4:59 PM,0.18749150776964763,Good,i4: Exercise,I want to,Evening,Inflow,Afternoon
4/13/20 5:00 PM,0.0732407481040791,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Morning,Inflow,Evening
4/13/20 5:00 PM,0.21399290811170335,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to,Evening,Inflow,Evening
4/13/20 5:00 PM,0.6616841653736802,Ok,"i2: Exploratory (e.g. internet search, fb)",I want to and have to,Evening,Inflow,Evening
4/13/20 5:01 PM,0.6418846738228277,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Evening
4/13/20 5:30 PM,0.2620106905400832,Amazing,i4: Exercise,I want to,Evening,Inflow,Evening
4/13/20 5:30 PM,0.7067347814443499,Amazing,"b9: Socializing (e.g., partying, meal)",I want to and have to,Morning,Bi-Directional,Evening
4/13/20 5:30 PM,0.003906290489614772,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to and have to,Evening,Bi-Directional,Evening
4/13/20 5:33 PM,0.14014177973779474,Good,i3: Eating and drinking,I want to,,Inflow,Evening
4/13/20 5:40 PM,0.25970807074888325,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Evening,Bi-Directional,Evening
4/13/20 5:45 PM,0.003906290489614772,Good,"b6: Logistical (e.g. planning, commuting, errands)",I want to and have to,Evening,Bi-Directional,Evening
4/13/20 5:45 PM,0.6737788102981581,Good,i3: Eating and drinking,I want to,Morning,Inflow,Evening
4/13/20 5:46 PM,0.11474372029382096,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to and have to,,Inflow,Evening
4/13/20 6:00 PM,0.0732407481040791,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Morning,Inflow,Evening
4/13/20 6:00 PM,0.29391579396123757,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Evening
4/13/20 6:04 PM,0.6418846738228277,Bad,"i1: Consuming art (e.g. movie, museum)",of something else; I neither want to nor have to,,Inflow,Evening
4/13/20 6:14 PM,0.04207113480625202,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/13/20 6:16 PM,0.7154627748693038,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Evening
4/13/20 6:26 PM,0.21399290811170335,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Evening
4/13/20 6:30 PM,0.14014177973779474,Good,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Evening
4/13/20 6:30 PM,0.4679025128092601,Bad,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Evening
4/13/20 6:31 PM,0.011015262917951851,Good,"b7: Manual work (e.g., housework)",I want to and have to,Evening,Bi-Directional,Evening
4/13/20 6:37 PM,0.8262523326828731,Amazing,i4: Exercise,I want to,Evening,Inflow,Evening
4/13/20 6:38 PM,0.003906290489614772,Ok,i3: Eating and drinking,I have to,Evening,Inflow,Evening
4/13/20 6:41 PM,0.6593225488258994,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Evening,Inflow,Evening
4/13/20 6:45 PM,0.003906290489614772,Ok,"i5: Fun (e.g. drinking, games)",I want to and have to,Evening,Inflow,Evening
4/13/20 6:45 PM,0.050374096737726304,Good,i3: Eating and drinking,I want to and have to,Morning,Inflow,Evening
4/13/20 6:47 PM,0.22321679639639314,Ok,"b8: Romantic (e.g., date)",I want to,Evening,Bi-Directional,Evening
4/13/20 7:00 PM,0.0732407481040791,Good,"b2: Communication - Virtual, Social (e.g. messaging)",of something else; I neither want to nor have to,Morning,Bi-Directional,Evening
4/13/20 7:00 PM,0.4782825663491381,Good,"i1: Consuming art (e.g. movie, museum)",I want to and have to,,Inflow,Evening
4/13/20 7:09 PM,0.25970807074888325,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Evening
4/13/20 7:15 PM,0.7067347814443499,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Evening
4/13/20 7:15 PM,0.003906290489614772,Good,"i5: Fun (e.g. drinking, games)",I want to and have to,Evening,Inflow,Evening
4/13/20 7:15 PM,0.2620106905400832,Ok,"b5: Intellectual (e.g. writing, coding)",I have to,Evening,Bi-Directional,Evening
4/13/20 7:15 PM,0.14014177973779474,Good,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Evening
4/13/20 7:15 PM,0.8262523326828731,Ok,"b6: Logistical (e.g. planning, commuting, errands)",I have to,Evening,Bi-Directional,Evening
4/13/20 7:16 PM,0.22321679639639314,Ok,i3: Eating and drinking,I want to and have to,Evening,Inflow,Evening
4/13/20 7:17 PM,0.41434933550599706,Ok,"i6: Learning (e.g. reading, researching, attending lecture)",I have to,,Inflow,Evening
4/13/20 7:22 PM,0.7116742748513436,Good,b4: Creative (e.g. painting),I want to,,Bi-Directional,Evening
4/13/20 7:22 PM,0.7116742748513436,Good,"i5: Fun (e.g. drinking, games)",I want to,,Inflow,Evening
4/13/20 7:37 PM,0.07987691256179696,Good,"b9: Socializing (e.g., partying, meal)",I want to,,Bi-Directional,Evening
4/13/20 7:41 PM,0.11474372029382096,Good,"b5: Intellectual (e.g. writing, coding)",I have to,,Bi-Directional,Evening
4/13/20 7:57 PM,0.22321679639639314,Good,"b2: Communication - Virtual, Social (e.g. messaging)",I want to,Evening,Bi-Directional,Evening
4/13/20 8:00 PM,0.0732407481040791,Good,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Morning,Inflow,Evening
4/13/20 8:00 PM,0.6478801025509782,Ok,"b7: Manual work (e.g., housework)",I have to,Evening,Bi-Directional,Evening
4/13/20 8:00 PM,0.003906290489614772,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Evening
4/13/20 8:00 PM,0.8902515255079483,Good,"b7: Manual work (e.g., housework)",I want to and have to,Morning,Bi-Directional,Evening
4/13/20 8:02 PM,0.29391579396123757,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Evening
4/13/20 8:03 PM,0.6737788102981581,Bad,"b5: Intellectual (e.g. writing, coding)",I have to,Morning,Bi-Directional,Evening
4/13/20 8:04 PM,0.21399290811170335,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Evening
4/13/20 8:05 PM,0.21399290811170335,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Evening
4/13/20 8:07 PM,0.7591494294474629,Bad,"i2: Exploratory (e.g. internet search, fb)",of something else; I neither want to nor have to,,Inflow,Evening
4/13/20 8:08 PM,0.056777490296152755,Good,"b7: Manual work (e.g., housework)",I want to and have to,,Bi-Directional,Evening
4/13/20 8:14 PM,0.7154627748693038,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Evening
4/13/20 8:15 PM,0.003906290489614772,Good,"i5: Fun (e.g. drinking, games)",I want to,Evening,Inflow,Evening
4/13/20 8:15 PM,0.7154627748693038,Amazing,"b9: Socializing (e.g., partying, meal)",I want to,Morning,Bi-Directional,Evening
4/13/20 8:15 PM,0.6013327568356811,Good,i3: Eating and drinking,I want to,,Inflow,Evening
4/13/20 8:15 PM,0.4679025128092601,Ok,"i8: Rest (e.g. rolling in bed, waiting)",of something else; I neither want to nor have to,,Inflow,Evening
4/13/20 8:16 PM,0.14014177973779474,Good,"i1: Consuming art (e.g. movie, museum)",I want to,,Inflow,Evening
4/13/20 8:24 PM,0.011015262917951851,Good,"b1: Communication - Virtual, Collaborative (e.g. emailing)",I have to,Evening,Bi-Directional,Evening
4/13/20 8:35 PM,0.6478801025509782,Good,i3: Eating and drinking,I want to and have to,Evening,Inflow,Evening
4/13/20 8:42 PM,0.10146061850548371,Ok,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Evening
4/13/20 9:00 PM,0.0732407481040791,Good,"i2: Exploratory (e.g. internet search, fb)",I want to,Morning,Inflow,Night
4/13/20 9:00 PM,0.25970807074888325,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
4/13/20 9:01 PM,0.6616841653736802,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Evening,Inflow,Night
4/13/20 9:07 PM,0.21399290811170335,Good,"i9: Self-care (e.g. grooming, pooping)",I want to and have to,Evening,Inflow,Night
4/13/20 9:15 PM,0.2620106905400832,Amazing,b4: Creative (e.g. painting),I want to,Evening,Bi-Directional,Night
4/13/20 9:15 PM,0.11474372029382096,Bad,"b9: Socializing (e.g., partying, meal)",I want to,,Bi-Directional,Night
4/13/20 9:15 PM,0.22321679639639314,Ok,i10: Inflow - Other,I want to,Evening,Inflow,Night
4/13/20 9:16 PM,0.07987691256179696,Ok,b4: Creative (e.g. painting),I want to,,Bi-Directional,Night
4/13/20 9:18 PM,0.14014177973779474,Good,i3: Eating and drinking,I want to,,Inflow,Night
4/13/20 9:20 PM,0.8262523326828731,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,Evening,Inflow,Night
4/13/20 9:49 PM,0.41432378521528046,Good,"i1: Consuming art (e.g. movie, museum)",I want to,Morning,Inflow,Night
4/13/20 10:00 PM,0.21399290811170335,Good,"i6: Learning (e.g. reading, researching, attending lecture)",I want to,Evening,Inflow,Night
4/13/20 10:00 PM,0.29391579396123757,Ok,"b3: Collaboration (e.g. meeting, appointment)",I have to,Evening,Bi-Directional,Night
4/13/20 10:09 PM,0.07987691256179696,Good,"i8: Rest (e.g. rolling in bed, waiting)",I want to,,Inflow,Night
